k,z,c,l
4.520536875072739491e+00,1.160138586189036314e+00,1.386413208263586272e+00,8.771025695885521500e-01
4.430128219089302100e+00,1.146434064402059860e+00,1.363401928764422344e+00,8.764937686906543179e-01
4.339175297080341664e+00,1.133968930091445726e+00,1.341139215682780828e+00,8.760756167339855960e-01
4.249091130765821234e+00,1.122620744023384853e+00,1.319748703750259100e+00,8.758138993112722925e-01
4.160937730643404109e+00,1.112280741959743802e+00,1.299314297414644992e+00,8.756790353533717708e-01
4.075491408303112628e+00,1.102852074571443186e+00,1.279888424756674858e+00,8.756454515915815806e-01
3.993297425298854453e+00,1.094248306907792401e+00,1.261498757651042357e+00,8.756910264414504708e-01
3.914715342759184757e+00,1.086392134510594243e+00,1.244153694476318739e+00,8.757965893291295156e-01
3.839956345755819012e+00,1.079214281040652645e+00,1.227846841294899960e+00,8.759454640959626337e-01
3.769113692383281311e+00,1.072652548540620643e+00,1.212560681183205258e+00,8.761230468440668329e-01
3.702187299858582303e+00,1.066650996510607685e+00,1.198269585730178832e+00,8.763164096037335815e-01
3.639103340492689131e+00,1.061159230069465442e+00,1.184942295097601628e+00,8.765139216352602070e-01
3.579729585658839586e+00,1.056131780808751808e+00,1.172543971623666081e+00,8.767048801049635021e-01
4.691836734693877631e+00,1.199999999999999956e+00,1.439523980027279881e+00,8.801669806028977749e-01
4.616659468026053759e+00,1.182624158217246535e+00,1.416291757676182650e+00,8.788461544532141234e-01
4.534775342597264114e+00,1.166860682947635786e+00,1.393161784074015586e+00,8.778317688948471531e-01
4.448900492906084025e+00,1.152543925525691515e+00,1.370418507298549526e+00,8.770739673275598225e-01
4.361177082980013608e+00,1.139527701627095713e+00,1.348274995510650998e+00,8.765296143209294621e-01
4.273270620220968041e+00,1.127682643824486242e+00,1.326887162282584409e+00,8.761613838374920915e-01
4.186453696031518845e+00,1.116893965685043399e+00,1.306365262299402419e+00,8.759369758687031160e-01
4.101677200951198365e+00,1.107059566021430852e+00,1.286783216555462683e+00,8.758284339722031131e-01
4.019630291459246330e+00,1.098088415440971133e+00,1.268186200231105731e+00,8.758115425228216733e-01
3.940790440380102844e+00,1.089899178105882882e+00,1.250596832688043669e+00,8.758652870957340797e-01
3.865464857655094288e+00,1.082419030223700451e+00,1.234020238393908286e+00,8.759713646631597239e-01
3.793824468932585958e+00,1.075582643695477181e+00,1.218448193836372706e+00,8.761137324947139149e-01
3.725931513904807701e+00,1.069331308918176626e+00,1.203862534254314554e+00,8.762781860219508445e-01
3.661761691169786559e+00,1.063612175244680103e+00,1.190237962213746670e+00,8.764519566105283266e-01
3.601221641232824844e+00,1.058377591266708162e+00,1.177544375489163020e+00,8.766233202812354630e-01
4.793877551020408134e+00,8.000000000000000444e-01,1.171995609922171333e+00,8.099175845291757270e-01
4.322446491750972619e+00,8.144094193859827691e-01,1.118404851476499928e+00,8.210000009384081920e-01
3.940779868459387547e+00,8.278952006817750231e-01,1.073910815362326021e+00,8.307674245620241260e-01
3.632648627503558547e+00,8.404992607366231772e-01,1.037330363610289297e+00,8.393022266921359442e-01
3.384708221492420677e+00,8.522644020670798737e-01,1.007595639107132790e+00,8.467009969685816984e-01
3.186019694617779674e+00,8.632337287710256657e-01,9.837477077535817793e-01,8.530688488458321173e-01
3.027634663215585054e+00,8.734501604299528266e-01,9.649304751645316758e-01,8.585141621180597538e-01
2.902240994398689988e+00,8.829560336016366584e-01,9.503844496333513359e-01,8.631441832679589421e-01
2.803864669653265196e+00,8.917927807614020042e-01,9.394401507125305084e-01,8.670616855170603099e-01
2.727622254202446417e+00,9.000006770348893959e-01,9.315111461182080665e-01,8.703627033212315567e-01
2.669517762533144101e+00,9.076186457000231522e-01,9.260868207693321308e-01,8.731352286679540109e-01
2.626277556160557580e+00,9.146841141593272662e-01,9.227250419678303395e-01,8.754586914437623157e-01
2.595217165111060265e+00,9.212329128488546681e-01,9.210448968629789679e-01,8.774040305610008028e-01
2.574134469855035245e+00,9.272992103218505866e-01,9.207196590363139199e-01,8.790341786742127406e-01
2.561224387635178790e+00,9.329154784987075955e-01,9.214701054505712863e-01,8.804048151712773329e-01
4.793877551020408134e+00,8.081632653061224802e-01,1.177946713055617156e+00,8.116955804983680967e-01
4.329797416223112982e+00,8.220517863684414506e-01,1.124808944784370990e+00,8.224784795322553910e-01
3.953665593656957800e+00,8.350399302422908399e-01,1.080650945603226276e+00,8.319789986620408362e-01
3.649620405434700565e+00,8.471701865736274151e-01,1.044300822733955636e+00,8.402795529718912748e-01
3.404618115777069409e+00,8.584855917933597036e-01,1.014702237570412446e+00,8.474756596359050986e-01
3.207963129745430297e+00,8.690292010395743727e-01,9.909078258738007738e-01,8.536704775428098912e-01
3.050901922095078600e+00,8.788436522466064327e-01,9.720728599699554051e-01,8.589698208909973820e-01
2.926277096900591790e+00,8.879708121125667875e-01,9.574487672169234020e-01,8.634780230997799455e-01
2.828236771575182829e+00,8.964514940514805019e-01,9.463763340954431946e-01,8.672948220740794856e-01
2.751993541859010239e+00,9.043252388132351216e-01,9.382785944507329168e-01,8.705132663875246868e-01
2.693626773509574690e+00,9.116301491454346095e-01,9.326535093321169922e-01,8.732185275993988860e-01
2.649921903961693470e+00,9.184027706229341836e-01,9.290665976114693692e-01,8.754874472297551335e-01
2.618240750780422399e+00,9.246780115433481662e-01,9.271436841005235019e-01,8.773886352234608887e-01
2.596417396406283551e+00,9.304890955509481643e-01,9.265639110770258480e-01,8.789829534593830429e-01
2.582674930115761658e+00,9.358675413865557013e-01,9.270531240731253453e-01,8.803242484019577763e-01
4.793877551020408134e+00,8.163265306122449161e-01,1.183888441138998493e+00,8.134534288763570764e-01
4.337171301719367378e+00,8.296879800862191345e-01,1.131209467761971954e+00,8.239391893535026323e-01
3.966589502696024727e+00,8.421735830389133204e-01,1.087390640202588576e+00,8.331753244996868979e-01
3.666640039448074262e+00,8.538262160993975725e-01,1.051271999148085445e+00,8.412441198637691242e-01
3.424581305465657532e+00,8.646889847260940121e-01,1.021809302858915247e+00,8.482398920175754364e-01
3.229961890889916365e+00,8.748047498258305632e-01,9.980672256678485565e-01,8.542637639749218748e-01
3.074223705598877032e+00,8.842157405408517246e-01,9.792127730321691370e-01,8.594189447621990441e-01
2.950364562413448688e+00,8.929632431173073481e-01,9.645085676803093477e-01,8.638068479081938422e-01
2.852655150853884436e+00,9.010873562784448287e-01,9.533058637035870531e-01,8.675241918289822163e-01
2.776404521159415939e+00,9.086268041760739989e-01,9.450373008461260271e-01,8.706610685000164551e-01
2.717767801102080494e+00,9.156187987255748340e-01,9.392095086602851861e-01,8.732998645371611302e-01
2.673589890769823008e+00,9.220989438976070485e-01,9.353957141418814958e-01,8.755148697258784418e-01
2.641279246229379485e+00,9.281011753102896833e-01,9.332285099189023825e-01,8.773723997422149257e-01
2.618706458620291055e+00,9.336577292149988994e-01,9.323929180813839146e-01,8.789312769070422027e-01
2.604123047981746542e+00,9.387991356806859589e-01,9.326198503850762211e-01,8.802435420163885471e-01
4.793877551020408134e+00,8.244897959183673519e-01,1.189820960071283906e+00,8.151915148650548115e-01
4.344567784472969763e+00,8.373180671861447655e-01,1.137606534488253551e+00,8.253824946414836106e-01
3.979551108064458553e+00,8.492962867593791820e-01,1.094129971273231527e+00,8.343567331279830857e-01
3.683707040252716336e+00,8.604675310492835294e-01,1.058243937688425396e+00,8.421962173382967487e-01
3.444597351204778501e+00,8.708748089901774403e-01,1.028916868010411489e+00,8.489939396725173504e-01
3.252015603919877318e+00,8.805606418414908543e-01,1.005225942191814381e+00,8.548489098817679821e-01
3.097599704996128356e+00,8.895667230254307167e-01,9.863502623983352313e-01,8.598616950540981518e-01
2.974503144363451757e+00,8.979336482004770525e-01,9.715639198871409699e-01,8.641307836202134496e-01
2.877119621562824747e+00,9.057007063733448771e-01,9.602288341082504397e-01,8.677498909413164929e-01
2.800855068353092392e+00,9.129057235575862572e-01,9.517873879992776454e-01,8.708061815584426935e-01
2.741940787710768213e+00,9.195849512451308438e-01,9.457549700429549455e-01,8.733792920702315721e-01
2.697281530300445596e+00,9.257729927299436223e-01,9.417125704723524615e-01,8.755409963942486495e-01
2.664332741589349407e+00,9.315027610831323468e-01,9.392995788816055347e-01,8.773553498227976144e-01
2.641001827111297828e+00,9.368054633070811432e-01,9.382069076432042465e-01,8.788791655663570346e-01
2.625568994739226447e+00,9.417106058798832002e-01,9.381705320289522865e-01,8.801627053231703135e-01
4.793877551020408134e+00,8.326530612244897878e-01,1.195744431294635035e+00,8.169102130381448168e-01
4.351986509535958447e+00,8.449421129429952604e-01,1.144000255518499376e+00,8.268087491696329838e-01
3.992549934820230906e+00,8.564081663707066028e-01,1.100869008296458063e+00,8.355235456651902703e-01
3.700820931424073201e+00,8.670943091658807056e-01,1.065216681274560040e+00,8.431361263068923861e-01
3.464665824929316074e+00,8.770432875596002598e-01,1.036024964595467557e+00,8.497380402221876849e-01
3.274123903697178317e+00,8.862971376266987056e-01,1.012384009187907274e+00,8.554261103029712210e-01
3.121029618205398037e+00,8.948968903708618416e-01,9.934853746793224083e-01,8.602982276203611223e-01
2.998692600712642875e+00,9.028823411875039895e-01,9.786148909159284592e-01,8.644499518287471762e-01
2.901630000464792580e+00,9.102918749419074418e-01,9.671453375811382980e-01,8.679720122229763746e-01
2.825345060721853763e+00,9.171623386437337544e-01,9.585289756853356824e-01,8.709486749351277313e-01
2.766145675194622289e+00,9.235289544701307252e-01,9.522900411761000550e-01,8.734568609198865019e-01
2.720996834148466714e+00,9.294252666571808374e-01,9.480173412388231968e-01,8.755658633476105512e-01
2.687401323229950290e+00,9.348831165213274952e-01,9.453570906120779549e-01,8.773375102232097156e-01
2.663303667007253406e+00,9.399326405737897794e-01,9.440061017982073199e-01,8.788266353497635741e-01
2.647013016606369451e+00,9.446022873425394817e-01,9.437054105311476482e-01,8.800817472373864137e-01
4.793877551020408134e+00,8.408163265306123346e-01,1.201659011954586687e+00,8.186098877282641517e-01
4.359427130487881996e+00,8.525601813009121566e-01,1.150390738017716741e+00,8.282182966354615372e-01
4.005585520149887557e+00,8.635093442032559796e-01,1.107607818228784957e+00,8.366760736760638917e-01
3.717981248930102733e+00,8.737067243249990733e-01,1.072190270992894545e+00,8.440641189807757128e-01
3.484786309434182439e+00,8.831946384230461300e-01,1.043133622782871361e+00,8.504724236746238342e-01
3.296286433732787735e+00,8.920144917518629812e-01,1.019541459140699491e+00,8.559955538587872281e-01
3.144513149544242214e+00,9.002065264393046551e-01,1.000618155105713170e+00,8.607286930796083091e-01
